bezirk,brw,nutzung,stichtag,anwert,verfahrensart,gfz,beitragszustand,lumnum,brwid
Spandau,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1298
Pankow,450,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1300
Spandau,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1302
Treptow-Köpenick,390,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,1306
Treptow-Köpenick,950,M2 - Mischgebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,,1308
Pankow,500,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1309
Spandau,550,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1311
Spandau,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1312
Treptow-Köpenick,1200,M2 - Mischgebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1315
Charlottenburg-Wilmersdorf,16000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1316
Treptow-Köpenick,320,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1317
Marzahn-Hellersdorf,500,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1322
Spandau,610,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1324
Spandau,600,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1325
Reinickendorf,400,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1326
Spandau,600,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1328
Spandau,610,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1329
